id,name,latitude_degree,longitude_degree,elevation_m
150,Managua,12.1328,-86.2504,0
151,Niamey,13.5137,2.1098,0
152,Abuja,9.0574,7.4898,0
153,Alofi,-19.0585,-169.9213,0
154,Saipan,15.2123,145.7545,0
155,Oslo,59.9127,10.7461,0
156,Masqat (Muscat),23.6139,58.5922,0
157,Islamabad,33.7035,73.0594,0
158,Koror,7.3426,134.4789,0
159,Ciudad de Panamá (Panama City),8.9958,-79.5196,0
160,Port Moresby,-9.4431,147.1797,0
161,Asunción,-25.3007,-57.6359,0
162,Lima,-12.0432,-77.0282,0
163,Manila,14.6042,120.9822,0
164,Warszawa (Warsaw),52.2298,21.0118,0
165,Lisboa (Lisbon),38.7169,-9.1399,0
166,San Juan,18.4663,-66.1057,0
167,Ad-Dawhah (Doha),25.2747,51.5245,0
168,Seoul,37.5683,126.9778,0
169,Chişinău,47.0056,28.8575,0
170,Saint-Denis,-20.8823,55.4504,0
171,Bucuresti (Bucharest),44.4328,26.1043,0
172,Moskva (Moscow),55.755,37.6218,0
173,Kigali,-1.9474,30.0579,0
174,Jamestown,-15.9387,-5.7168,0
175,Basseterre,17.2948,-62.7261,0
176,Castries,14.006,-60.991,0
177,Saint-Pierre,46.7738,-56.1815,0
178,Kingstown,13.1587,-61.2248,0
179,Apia,-13.8333,-171.7667,0
180,San Marino,43.9333,12.45,0
181,São Tomé,0.3365,6.7273,0
182,Ar-Riyadh (Riyadh),24.6905,46.7096,0
183,Dakar,14.6937,-17.4441,0
184,Beograd (Belgrade),44.8176,20.4633,0
185,Victoria,-4.6167,55.45,0
186,Freetown,8.484,-13.2299,0
187,Singapore,1.2897,103.8501,0
188,Philipsburg,18.026,-63.0458,0
189,Bratislava,48.1482,17.1067,0
190,Ljubljana,46.0511,14.5051,0
191,Honiara,-9.4333,159.95,0
192,Muqdisho (Mogadishu),2.0416,45.3435,0
193,Cape Town,-33.9258,18.4232,0
194,Juba,4.8517,31.5825,0
195,Madrid,40.4165,-3.7026,0
196,Colombo,6.9319,79.8478,0
197,Al-Quds[East Jerusalem],31.7834,35.2339,0
198,Al-Khartum (Khartoum),15.5518,32.5324,0
199,Paramaribo,5.8664,-55.1668,0
200,Mbabane,-26.3167,31.1333,0
201,Stockholm,59.3326,18.0649,0
202,Bern,46.9481,7.4474,0
203,Dimashq (Damascus),33.5086,36.3084,0
204,Dushanbe,38.5358,68.7791,0
205,Skopje,42,21.4333,0
206,Krung Thep (Bangkok),13.722,100.5252,0
207,Dili,-8.5601,125.5668,0
208,Lomé,6.1375,1.2123,0
209,Tokelau,-9.38,-171.25,0
210,Nuku'alofa,-21.1394,-175.2032,0
211,Port of Spain,10.6662,-61.5166,0
212,Tunis,36.819,10.1658,0
213,Ankara,39.9199,32.8543,0
214,Ashgabat,37.95,58.3833,0
215,Cockburn Town,21.4612,-71.1419,0
216,Funafuti,-8.5189,179.1991,0
217,Kampala,0.3163,32.5822,0
218,Kyiv (Kiev),50.4454,30.5186,0
219,Abu Zaby (Abu Dhabi),24.4648,54.3618,0
220,London,51.5085,-0.1257,0
