src,dst,time_ns,ping_ns
1157,1165,0,93456278
1157,1165,1000000000,93450616
1157,1165,2000000000,93445389
1157,1165,3000000000,93440600
1157,1165,4000000000,93436250
1157,1165,5000000000,93432343
1157,1165,6000000000,93428869
1157,1165,7000000000,93425842
1157,1165,8000000000,93423259
1157,1165,9000000000,93421121
1157,1165,10000000000,93419422
1157,1165,11000000000,93418174
1157,1165,12000000000,93417376
1157,1165,13000000000,93417025
1157,1165,14000000000,93417130
1157,1165,15000000000,93417688
1157,1165,16000000000,93418700
1157,1165,17000000000,93420170
1157,1165,18000000000,93422103
1157,1165,19000000000,93424492
1157,1165,20000000000,93427344
1157,1165,21000000000,93430667
1157,1165,22000000000,93434455
1157,1165,23000000000,93438717
1157,1165,24000000000,93645002
1157,1165,25000000000,93648368
1157,1165,26000000000,93652251
1157,1165,27000000000,93656645
1157,1165,28000000000,93661545
1157,1165,29000000000,93666973
1157,1165,30000000000,93672924
1157,1165,31000000000,93679405
1157,1165,32000000000,93686408
1157,1165,33000000000,93693935
1157,1165,34000000000,93701993
1157,1165,35000000000,93710591
1157,1165,36000000000,93719720
1157,1165,37000000000,93729387
1157,1165,38000000000,93739596
1157,1165,39000000000,93750344
1157,1165,40000000000,93761644
1157,1165,41000000000,93773487
1157,1165,42000000000,93785884
1157,1165,43000000000,93798832
1157,1165,44000000000,93812343
1157,1165,45000000000,93826410
1157,1165,46000000000,93841034
1157,1165,47000000000,99040626
1157,1165,48000000000,99005329
1157,1165,49000000000,98970886
1157,1165,50000000000,98937303
1157,1165,51000000000,98904588
1157,1165,52000000000,98872763
1157,1165,53000000000,98841818
1157,1165,54000000000,98811763
1157,1165,55000000000,98782609
1157,1165,56000000000,98754371
1157,1165,57000000000,98727046
1157,1165,58000000000,98700638
1157,1165,59000000000,98675166
1157,1165,60000000000,98650627
1157,1165,61000000000,98627031
1157,1165,62000000000,98604390
1157,1165,63000000000,98582703
1157,1165,64000000000,98561977
1157,1165,65000000000,98542226
1157,1165,66000000000,98523449
1157,1165,67000000000,98505652
1157,1165,68000000000,98488844
1157,1165,69000000000,98473022
1157,1165,70000000000,98458198
1157,1165,71000000000,98444380
1157,1165,72000000000,98431567
1157,1165,73000000000,98419761
1157,1165,74000000000,98408973
1157,1165,75000000000,98399205
1157,1165,76000000000,98390455
1157,1165,77000000000,98382733
1157,1165,78000000000,98376046
1157,1165,79000000000,98370383
1157,1165,80000000000,98365758
1157,1165,81000000000,98362169
1157,1165,82000000000,98359615
1157,1165,83000000000,98358105
1157,1165,84000000000,98357636
1157,1165,85000000000,98358207
1157,1165,86000000000,98359826
1157,1165,87000000000,98362485
1157,1165,88000000000,98366192
1157,1165,89000000000,98370946
1157,1165,90000000000,98376735
1157,1165,91000000000,98383570
1157,1165,92000000000,98391449
1157,1165,93000000000,98400368
1157,1165,94000000000,98410321
1157,1165,95000000000,98421316
1157,1165,96000000000,98433351
1157,1165,97000000000,98446406
1157,1165,98000000000,98460500
1157,1165,99000000000,98475618
1157,1165,100000000000,98491757
1157,1165,101000000000,98508916
1157,1165,102000000000,98527089
1157,1165,103000000000,98546276
1157,1165,104000000000,98566468
1157,1165,105000000000,98587662
1157,1165,106000000000,98609854
1157,1165,107000000000,98633034
1157,1165,108000000000,98657203
1157,1165,109000000000,98682348
1157,1165,110000000000,98708473
1157,1165,111000000000,98735565
1157,1165,112000000000,98763615
1157,1165,113000000000,98792625
1157,1165,114000000000,98822578
1157,1165,115000000000,98853479
1157,1165,116000000000,98885305
1157,1165,117000000000,98918069
1157,1165,118000000000,98951748
1157,1165,119000000000,98986336
1157,1165,120000000000,99021827
1157,1165,121000000000,99058213
1157,1165,122000000000,99095490
1157,1165,123000000000,99133642
1157,1165,124000000000,99172667
1157,1165,125000000000,99212556
1157,1165,126000000000,99253295
1157,1165,127000000000,99294887
1157,1165,128000000000,99337311
1157,1165,129000000000,99374838
1157,1165,130000000000,99402628
1157,1165,131000000000,99431230
1157,1165,132000000000,99460638
1157,1165,133000000000,99490843
1157,1165,134000000000,99521831
1157,1165,135000000000,99553602
1157,1165,136000000000,99586155
1157,1165,137000000000,99619462
1157,1165,138000000000,99653531
1157,1165,139000000000,99688349
1157,1165,140000000000,99723915
1157,1165,141000000000,99760208
1157,1165,142000000000,99797231
1157,1165,143000000000,99834977
1157,1165,144000000000,99873428
1157,1165,145000000000,99912579
1157,1165,146000000000,99952430
1157,1165,147000000000,93761113
1157,1165,148000000000,93742976
1157,1165,149000000000,93725291
1157,1165,150000000000,93708052
1157,1165,151000000000,93691260
1157,1165,152000000000,93674916
1157,1165,153000000000,93659007
1157,1165,154000000000,93643554
1157,1165,155000000000,93628546
1157,1165,156000000000,93613981
1157,1165,157000000000,93599854
1157,1165,158000000000,93586166
1157,1165,159000000000,93572929
1157,1165,160000000000,93560125
1157,1165,161000000000,93547760
1157,1165,162000000000,93535833
1157,1165,163000000000,93524347
1157,1165,164000000000,93513292
1157,1165,165000000000,93502678
1157,1165,166000000000,93492497
1157,1165,167000000000,93482755
1157,1165,168000000000,93473449
1157,1165,169000000000,93464580
1157,1165,170000000000,93456146
1157,1165,171000000000,93448147
1157,1165,172000000000,93440585
1157,1165,173000000000,93433457
1157,1165,174000000000,93426768
1157,1165,175000000000,93420515
1157,1165,176000000000,93414697
1157,1165,177000000000,93409319
1157,1165,178000000000,93404379
1157,1165,179000000000,93399879
1157,1165,180000000000,93395816
1157,1165,181000000000,93392195
1157,1165,182000000000,93389015
1157,1165,183000000000,93386272
1157,1165,184000000000,93383979
1157,1165,185000000000,93382125
1157,1165,186000000000,93380714
1157,1165,187000000000,93379752
1157,1165,188000000000,93379240
1157,1165,189000000000,93379171
1157,1165,190000000000,93379557
1157,1165,191000000000,93380391
1157,1165,192000000000,93381677
1157,1165,193000000000,93383421
1157,1165,194000000000,93385617
1157,1165,195000000000,93388271
1157,1165,196000000000,93391385
1157,1165,197000000000,93394962
1157,1165,198000000000,93399003
1157,1165,199000000000,93403507
