id,name,lat,lng,pop,capital_type,country
95,Vatican City,41.9024,12.4533,801,Capital,Holy See
96,Tegucigalpa,14.0818,-87.2068,1363041,Capital,Honduras
97,Budapest,47.498,19.0399,1759497,Capital,Hungary
98,Reykjavík,64.1355,-21.8954,216364,Capital,Iceland
99,Delhi,28.6667,77.2167,28513682,Capital,India
100,Jakarta,-6.2118,106.8416,10516927,Capital,Indonesia
101,Tehran,35.6944,51.4215,8895947,Capital,Iran (Islamic Republic of)
102,Baghdad,33.3406,44.4009,6811955,Capital,Iraq
103,Dublin,53.3331,-6.2489,1201426,Capital,Ireland
104,Douglas,54.15,-4.4833,27171,Capital,Isle of Man
105,Jerusalem,31.769,35.2163,907062,Capital,Israel
106,Roma (Rome),41.8947,12.4811,4209710,Capital,Italy
107,Kingston,17.997,-76.7936,589083,Capital,Jamaica
108,Tokyo,35.6895,139.6917,37468302,Capital,Japan
109,Amman,31.9552,35.945,2064582,Capital,Jordan
110,Astana,51.1801,71.446,1068113,Capital,Kazakhstan
111,Nairobi,-1.2833,36.8167,4385853,Capital,Kenya
112,Tarawa,1.3272,172.9813,64011,Capital,Kiribati
113,Al Kuwayt (Kuwait City),29.3697,47.9783,2989270,Capital,Kuwait
114,Bishkek,42.87,74.59,996319,Capital,Kyrgyzstan
115,Vientiane,17.9667,102.6,664754,Capital,Lao People's Democratic Republic
116,Riga,56.946,24.1059,637089,Capital,Latvia
117,Bayrut (Beirut),33.9,35.4833,2385271,Capital,Lebanon
118,Maseru,-29.3167,27.4833,201851,Capital,Lesotho
119,Monrovia,6.3005,-10.7969,1418300,Capital,Liberia
120,Tarabulus (Tripoli),32.8752,13.1875,1157746,Capital,Libya
121,Vaduz,47.1415,9.5215,5470,Capital,Liechtenstein
122,Vilnius,54.6892,25.2798,536055,Capital,Lithuania
123,Luxembourg,49.6117,6.13,119752,Capital,Luxembourg
124,Antananarivo,-18.9137,47.5361,3058387,Capital,Madagascar
125,Lilongwe,-13.9669,33.7873,1029639,Capital,Malawi
126,Kuala Lumpur,3.1412,101.6865,7563912,Capital,Malaysia
127,Male,4.1748,73.5089,176851,Capital,Maldives
128,Bamako,12.65,-8,2446749,Capital,Mali
129,Valletta,35.8997,14.5147,212768,Capital,Malta
130,Majuro,7.0897,171.3803,30661,Capital,Marshall Islands
131,Fort-de-France,14.6089,-61.0733,79361,Capital,Martinique
132,Nouakchott,18.0858,-15.9785,1205414,Capital,Mauritania
133,Port Louis,-20.1619,57.4989,149365,Capital,Mauritius
134,Mamoudzou,-12.7794,45.2272,6180,Capital,Mayotte
135,Ciudad de México (Mexico City),19.4273,-99.1419,21580827,Capital,Mexico
136,Palikir,6.9174,158.1588,6996,Capital,Micronesia (Fed. States of)
