o,n,h,i,e,p,gbps,time_s,total_sat
72,10,567.5,31.7,11.4,50.0,2811.259967291111,14120.809427388973,720
56,14,588.0,34.9,11.9,50.0,2790.982230935457,14174.670091901964,784
68,17,634.2,38.0,13.9,50.0,3559.584544702686,18985.702218007063,1156
108,12,606.8,36.0,13.2,50.0,4125.608426362954,19967.850977752823,1296
144,11,553.2,38.5,12.2,50.0,4744.5941887118715,24009.937116461002,1584
324,12,545.0,44.2,16.5,50.0,8015.61100466013,62450.24386941199,3888
323,10,635.0,43.1,16.8,50.0,7353.695976416579,52901.51620655414,3230
336,10,520.0,43.3,14.2,50.0,7526.462487983156,56857.87025262299,3360
