time_s,RTT_ms
0,103.11837202446287
1,103.16382762167572
2,103.20963978896025
3,103.25579076380856
4,121.60606709117836
5,121.64611904504658
6,121.68676749962253
7,121.72798502904048
8,121.76978797477875
9,121.81215937833754
10,129.43828376811675
11,129.43236638812778
12,129.4270020663672
13,129.42219556143033
14,129.41794599530473
15,129.41424660921476
16,129.41108917728667
17,129.40848873793757
18,129.4064332888689
19,129.4049126682833
20,129.40395434745867
21,129.4035200289404
22,129.40364228372658
23,129.40429181351504
24,129.4054998826937
25,129.40724499820007
26,129.4095137728143
27,129.41233665724627
28,129.41568540392694
29,129.41958535421438
30,129.42399135204627
31,129.42894884991216
32,129.43442625659262
33,129.4404544423327
34,129.44700157195848
35,123.10724784285291
36,123.06094104540202
37,123.0150406286734
38,122.96958503888878
39,122.92454934924694
40,122.87994165582468
41,122.83575608451301
42,122.79202364569602
43,122.74873109101014
44,122.70587883256917
45,122.66349595688148
46,122.62154929195594
47,122.58007592523656
48,122.53907538909483
49,122.49853032119546
50,122.45847700437986
51,122.41888575343047
52,122.37980693412088
53,122.34118860384848
54,122.30308454952976
55,122.26531579686602
56,122.22698957820292
57,122.18916863417383
58,122.15186025706842
59,122.1150677545874
60,122.07880771276417
61,122.04195383309083
62,121.99963679024714
63,121.95785041689311
64,121.91657529736912
65,121.87355435494189
66,121.83108603804462
67,121.78915230901661
68,121.7478085662254
69,121.70700236805398
70,121.66678529749544
71,121.62711341809398
72,121.58803145664251
73,121.54951062872135
74,121.51159203971993
75,121.4742595369845
76,121.43752745281115
77,121.40136862415812
78,121.3658415715451
79,121.33087747248405
80,121.29654557289733
81,121.26281535902291
82,121.22970894732897
83,121.19720986662351
84,121.16535024464316
85,121.13409813423824
86,121.10347391300351
87,121.07349237204774
88,121.0441452072535
89,121.01542064575693
90,120.9873701735308
91,120.9599354428701
92,120.93315712685984
93,101.9483039850098
94,101.91115185024243
95,101.87443820943888
96,101.83814721282629
97,101.8023056498724
98,101.76690836016317
99,101.73196078302959
100,101.6974543429138
101,101.66340469621613
102,101.6298123337679
103,101.59668141436285
104,101.56399379668338
105,101.53179693323251
106,101.50005725148584
107,101.46879646494145
108,101.43800616866731
109,101.40770309628282
110,101.37787598969335
111,101.34852740898656
112,101.3196649574882
113,101.29130088331684
114,101.26342989099247
115,101.23605813210644
116,101.20918247258335
117,101.18280521565022
118,101.15693529802591
119,101.13157804052221
120,101.10673210809873
121,101.08240406015864
122,101.05858320402234
123,101.03529086388853
124,101.01251439374042
125,100.99026204474232
126,100.96854502222635
127,100.9473488492158
128,100.92668987830864
129,100.90656740014897
130,100.88697638180972
131,100.86792668107381
132,100.84942421610447
133,100.8314704947695
134,100.81404955760082
135,100.79719555963858
136,100.7808861515661
137,100.76511994768079
138,100.74992209728704
139,100.73527257320846
140,100.72118630143056
141,100.7076662870238
142,100.6947051982174
143,100.68230935799781
144,100.67047604249397
145,100.6592187344033
146,100.64852379794293
147,100.63840931737276
148,100.62886297706052
149,100.61989309037062
150,100.61148825522244
151,100.60367158613761
152,100.59643010563212
153,100.58977764987743
154,100.58370780616816
155,100.57821140104693
156,100.57329262362438
157,100.56896480313002
158,100.56521289900299
159,100.56205605975394
160,100.5594794441147
161,100.55749067536458
162,100.55610131813648
163,100.55528575246235
164,100.55506043904464
165,100.55543546856056
166,100.55638366332595
167,100.55791854133997
168,100.56007341506475
169,100.56279083637523
170,100.56610210662045
171,100.57001632746751
172,100.57450968004643
173,100.57959214540736
174,100.58526169898052
175,100.59151977114438
176,100.59836957921215
177,100.60581394234619
178,100.6138441563159
179,100.622453444642
180,100.63166244438894
181,100.6414432676796
182,100.65181813322125
183,100.66278440372072
184,100.67432192526148
185,100.68645158428735
186,100.69914981319201
187,100.7124338462291
188,100.72630526737991
189,100.74075272630284
190,100.75577587374839
191,100.77136155859303
192,100.78470863471203
193,100.7950756837978
194,100.806007920934
195,100.816287808413
196,100.82627818312979
197,100.83684363578467
198,100.84798399239945
199,100.8596635475725
