time_s,RTT_ms
0,102.78658827500352
1,102.76284207230078
2,102.73957921757709
3,102.71665797456454
4,102.6941771396639
5,102.67212491978839
6,102.6504826530768
7,102.62924854764523
8,102.60844192969184
9,102.58804520556357
10,102.5680752164589
11,102.548535099036
12,102.529388978129
13,102.51070377415468
14,102.49237743879195
15,102.47451753556811
16,102.45704731184826
17,102.44001115164413
18,102.42336367776012
19,102.40717237559993
20,102.39136649223845
21,102.37605122254539
22,102.36107245769081
23,102.34654863739411
24,102.3324565117619
25,102.31877335398562
26,102.3055251825981
27,102.29263876577686
28,102.28025688372516
29,102.26824124576146
30,102.25669368456187
31,102.24554204162402
32,102.234809888236
33,102.22455163861561
34,102.21468051403934
35,102.2052221263728
36,102.19622521240699
37,102.18762800927838
38,102.17945300285129
39,102.17174191998294
40,102.16444565382292
41,102.15756542285571
42,102.15114208347075
43,102.14515846869459
44,102.13955721210633
45,102.13443490242375
46,102.12975429272271
47,102.12549120912827
48,102.12167775715955
49,102.11829467451506
50,102.11535150204891
51,102.11284185814661
52,102.11077483207106
53,102.10915930752672
54,102.1079947793402
55,102.10729287585005
56,102.10701383403175
57,102.10718138337589
58,102.10782493711521
59,102.10887294092707
60,102.11042784263438
61,102.11242755718223
62,102.11482914303276
63,102.11774880424183
64,102.12109623183636
65,102.12494232953385
66,102.12923784690491
67,102.13396297740198
68,102.13919701413741
69,102.14486526440896
70,102.15100740035997
71,102.15763899026314
72,102.1647442295045
73,102.17231131851766
74,102.18034332753774
75,102.18886851891789
76,102.19788300918788
77,102.20737767886101
78,102.21733894832049
79,102.22782620490558
80,106.25015622950473
81,106.2380876231217
82,106.22657360782566
83,106.21569669132958
84,106.2053921801587
85,106.19569631596828
86,106.18659702384844
87,106.17811840906988
88,106.17023661644997
89,106.16298197942997
90,106.1563190263498
91,106.15025673286779
92,106.1448265560379
93,106.1400181558314
94,106.13583216446453
95,106.13228360397804
96,110.986581167439
97,110.99678872817945
98,111.007702861729
99,111.01937273430538
100,111.03180338019537
101,111.04505876680672
102,111.05897173013742
103,111.07371789632256
104,111.08918552325261
105,111.10538489253041
106,111.12230668766117
107,111.14002636041607
108,111.15842242744355
109,111.17761026497845
110,111.19750488789155
111,111.21814313044982
112,111.23945087301064
113,111.26151572076313
114,111.28427747386476
115,111.3077706582129
116,111.33198094529722
117,111.35685715075098
118,111.38245890140112
119,111.40872943046287
120,111.43577278000654
121,111.46343015041774
122,111.49183425599641
123,111.52085856103064
124,111.55059022326762
125,111.58100092284387
126,111.61209351974173
127,111.64386183418607
128,111.67626710390374
129,111.70933676347731
130,111.74308407606968
131,111.77749410251779
132,111.81250618434254
133,111.84815272822945
134,111.88447895850986
135,111.92142548147258
136,111.95898775530642
137,111.99718980779679
138,112.03602046620333
139,112.0754539373087
140,112.11549264931811
141,112.15617569025243
142,112.19743092577217
143,112.23929416782296
144,112.2817369903836
145,112.32477735058409
146,112.36840483004292
147,112.4126198722866
148,112.4573984983859
149,112.50276393825294
150,112.54867277901776
151,112.59512893003344
152,112.64217230678433
153,112.68973945662474
154,112.73787075602289
155,112.78654509623202
156,112.83575728888908
157,112.88547143117937
158,112.93570910527637
159,112.98650838916957
160,113.03777460960225
161,113.08956919111422
162,113.14187442994107
163,113.19469594852569
164,113.24796874391448
165,113.30176242351679
166,113.35601179607009
167,113.41077698666611
168,113.46598976748055
169,113.52166525791503
170,113.57783161540704
171,113.63444056168191
172,113.66433403301902
173,113.66435324969822
174,113.66496807038416
175,113.6661979630377
176,113.66801455564728
177,113.67044014524942
178,113.6734537246133
179,113.67707881117683
180,113.68128750774414
181,113.68608012299565
182,113.69149736992449
183,113.69747418281402
184,113.70405217656761
185,113.71122972118656
186,113.71898791393932
187,113.72731789674157
188,113.73624511761678
189,113.74574625953846
190,113.75583922975378
191,113.76650526928223
192,113.77775790280482
193,113.7895783206728
194,113.80198693331924
195,113.81495510631085
196,113.8279938852127
197,113.8406011234948
198,113.85385992403869
199,113.86760603225171
