o,n,time_s
20,20,249.9718251739978
25,25,362.0650189790176
30,30,627.6132471060264
35,35,1215.3863563990453
40,40,2553.3370342659764
45,45,4389.283316830988
50,50,12093.966065854998
55,55,20348.36360722495
60,60,34394.27278260799
65,65,54500.374949585996
70,70,83600.820118781
75,75,124100.33938959695
