o,n,time_s
20,20,144.25507429399295
25,25,226.1727409719606
30,30,331.82110098499106
35,35,454.6155812329962
40,40,601.6592824980034
45,45,771.373692727997
50,50,979.1031702000182
55,55,1197.3318026830093
60,60,1411.9936115499586
65,65,1689.1570691380184
70,70,1983.8478770640213
75,75,2279.0630365050165
