o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
72,22,53,680,25,50,AVG,20,3268.362207411131,3308.5981617462176,129.99335882994126,0.0,1.4859202942513754,1.4605868924337888,1.2525042536393616,1.2378540540945515,1.59269675181653,7.0,7.0,6.0,11.975,4.0,64.7,301.0,548.25,738.7,1047.05,1357.6117272791926,21.3,35.25
72,22,53,660,25,50,AVG,20,3204.8904247874925,3240.707748064326,127.50080857099081,0.0,1.5464548757773589,1.4854638960572062,1.2529382218440515,1.2399908821072687,1.5725840973742842,7.0,7.0,6.0,12.0,4.0,60.95,266.8,517.15,610.25,1039.25,1358.706915965729,21.65,35.1
72,22,53,640,25,50,AVG,20,3128.5597860289695,3161.212257091415,124.93798830574482,0.0,1.6010545629862314,1.4980878769893358,1.256061157867297,1.2438978681961645,1.5527982339706945,7.0,7.025,6.0,12.0,4.0,53.7,254.65,497.65,598.1,1009.4,1357.5980387106465,22.35,35.0
72,22,53,500,25,50,AVG,20,2559.8910564935036,2572.431712422003,103.66827495701634,0.0,2.0219492296127517,1.7127632801881758,1.306894330844098,1.295427927105126,1.4567253988508553,8.31578947368421,9.0,7.0,13.0,4.0,25.842105263157894,165.73684210526315,337.1578947368421,412.42105263157896,706.3684210526316,803.3345989212472,25.42105263157895,33.578947368421055
72,22,53,620,25,50,AVG,20,3053.8834142338874,3085.169089780265,122.1305275203458,0.0,1.6757983388262319,1.5344760185210347,1.262862066843382,1.2492686262992458,1.5340463051140216,7.0,7.775,6.0,12.0,4.0,51.1,238.75,463.9,570.35,973.85,1220.4818549686613,22.95,35.0
72,22,53,480,25,50,AVG,20,2457.3671062528656,2468.913798273575,99.99655450031892,0.0,2.089889124135059,1.7296231192875744,1.3169948220613734,1.3063636848067572,1.4608861915362708,8.657894736842104,9.0,7.0,13.0,4.473684210526316,23.789473684210527,160.31578947368422,326.1578947368421,401.10526315789474,650.6315789473684,747.4940750661432,25.894736842105264,33.5
72,22,53,600,25,50,AVG,20,2976.3029311849778,3004.0633766990927,119.29044149232718,0.0,1.7554603577860735,1.5666869982987675,1.269351450826662,1.2573165866672367,1.5144240862918152,7.05,8.0,6.0,12.0,4.0,43.5,222.8,438.75,552.8,941.65,1220.1152722164602,23.175,34.65
72,22,53,580,25,50,AVG,20,2898.31762575797,2922.1676134348104,116.29247224458581,0.0,1.8226385223641444,1.5991407279522425,1.2751316004484965,1.2656606384500297,1.4985372616039416,7.45,8.0,6.0,12.0,4.0,39.5,204.75,414.0,520.85,903.05,1090.4098112582744,23.75,34.05
72,22,53,460,25,50,AVG,20,2359.498895173153,2371.8798259823875,96.2713713896285,0.0,2.149066614007234,1.748823897619496,1.3280618438750917,1.3140771907506954,1.4694624028283638,8.868421052631579,9.026315789473685,7.0,13.0,5.0,22.63157894736842,153.57894736842104,308.7368421052632,391.4736842105263,609.1052631578947,772.188833423069,26.736842105263158,33.21052631578947
72,22,53,560,25,50,AVG,20,2817.2138467165196,2837.5225232100465,113.38515118985708,0.0,1.867923631857062,1.6271188204391855,1.2831012152464034,1.2715020734239448,1.4814836173500785,7.9,8.0,6.0,12.0,4.0,34.8,195.1,397.7,482.6,857.4,1009.5056582353978,23.95,34.0
72,22,53,540,25,50,AVG,20,2743.7618777206176,2760.8426244214807,110.14170618923556,0.0,1.9095061617804792,1.6616638702879023,1.2904191850962894,1.2794962246823438,1.466802721704882,8.0,8.0,6.35,12.075,4.0,30.8,181.85,376.75,465.95,809.65,1058.7265576684963,24.55,33.85
72,22,53,440,25,50,AVG,20,2254.529212253248,2266.0477023277904,92.39946425027892,0.0,2.216120503521337,1.7710669965786046,1.343827759825343,1.3236400261043684,1.4792164166346287,9.0,9.368421052631579,7.0,13.0,5.0,20.157894736842106,143.94736842105263,286.57894736842104,354.2105263157895,561.6842105263158,751.3706142356431,27.31578947368421,33.31578947368421
72,22,53,520,25,50,AVG,20,2655.2275766991565,2672.435082234043,106.9618682478484,0.0,1.944867335992829,1.691131885334093,1.2981271666073062,1.2869375494361046,1.4590106342280509,8.025,8.3,6.775,12.95,4.0,27.15,176.75,360.1,454.7,757.0,891.5109444117321,24.7,33.65
72,22,53,420,25,50,AVG,20,2144.441442434064,2156.2868262515462,88.2088440298203,0.0,2.273069240414866,1.8002872286964775,1.3676544936548576,1.3332700624603204,1.4952693199239107,9.052631578947368,9.973684210526315,7.0,13.0,5.0,17.42105263157895,143.1578947368421,271.7894736842105,344.89473684210526,511.10526315789474,719.5867145554533,27.94736842105263,33.1578947368421
72,22,53,400,25,50,AVG,20,2034.8530629416966,2043.9506584507953,83.8334963075944,0.0,2.3291682620458807,1.8352188910646972,1.389895675662468,1.3436341649538344,1.51373264890815,9.31578947368421,10.0,7.052631578947368,13.342105263157896,5.0,16.57894736842105,133.47368421052633,248.05263157894737,315.89473684210526,473.2631578947368,668.1893661287817,28.526315789473685,33.10526315789474
72,22,53,380,25,50,AVG,20,1936.2212297400094,1941.6238165188545,79.47715447145275,0.3157894736842105,2.3644698546051455,1.858662178209982,1.4145741264264866,1.3544761062207664,1.5509453343125852,9.473684210526315,10.105263157894736,7.5,14.0,5.328947368421052,16.42105263157895,129.68421052631578,230.78947368421052,295.6842105263158,421.6842105263158,649.5127035845778,29.0,33.36842105263158
