time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,28,28,594.0,149.4,11.4,14.000000000000002,2599.682922726698,15.352934676994106,9.601769911504425,3.7887740029542094,6.682832201745878,2.3908769170271333,9.914675767918089,1,163.2829486598976,1.105818113330222,1.1099555316746275,1.1590794774150273,1.5668043121685835,1.1044676275389718,3.0,4.0,10.0,3.0,4.0
0.0,108,12,607.0,142.2,13.3,50.0,4114.14491793821,26.522332407518263,8.495575221238937,5.265878877400295,7.623666343355966,4.760125835627211,12.696245733788396,0,176.81300278081497,1.144140070719804,1.11248335923315,1.162400075837207,1.4903378415981507,1.1181376402156438,4.0,4.0,7.0,3.0,4.0
0.0,323,10,635.0,137.1,17.0,33.0,7413.581310028516,44.834953633847896,8.584070796460178,10.775480059084195,12.114451988360814,8.197011403853715,13.523890784982937,0,199.1718256788178,1.383718282902968,1.165638469515009,1.1982475978211844,1.5224973583081018,1.1672095255503507,4.5,4.0,7.0,3.0,4.0
0.0,323,10,626.6,137.3,16.7,33.0,7422.121331195717,44.74667008530624,9.070796460176991,10.974889217134416,12.046556741028128,8.149823043649233,14.027303754266212,0,199.76829803089652,1.3817467092252504,1.1616870289624546,1.1956756704595592,1.5150156175021623,1.1634811440431594,4.0,4.0,7.0,3.0,4.0
0.0,336,10,520.3,135.7,13.4,28.000000000000004,7579.6917135958,46.873695525938615,12.52212389380531,12.976366322008861,12.686711930164888,9.034604797483288,13.984641638225256,0,205.6757704085577,1.3581146811032812,1.130184276102041,1.1622563316639054,1.3847955911005745,1.1216055497975053,4.0,4.0,7.0,3.0,4.0
0.0,108,12,609.0,35.1,13.0,49.0,4111.075415850027,26.52657019748722,8.539823008849558,5.3545051698670605,8.084384093113481,4.828942194258749,13.029010238907851,1,178.4437540000835,1.1441588158039178,1.108531774194813,1.170651500813955,1.5032171978621154,1.1121207760776248,4.0,4.0,7.0,3.0,4.0
0.0,72,10,570.1,31.1,10.7,49.0,2810.5173638703836,20.65505320505469,8.584070796460178,3.818316100443132,6.047526673132881,4.132913881242627,7.636518771331058,1,162.90998607123902,1.0909708992943412,1.1090580776437322,1.1724293851887915,1.5352742856206674,1.0988809733143179,3.0,4.0,6.5,3.0,4.0
0.0,324,12,553.5,135.8,17.3,38.0,8009.434366365829,45.72381957198421,7.035398230088495,10.568685376661744,10.538312318137729,6.887534408179316,14.624573378839589,1,193.8862152320441,1.5991864966087128,1.1748065935601593,1.1880378625191543,1.4050764844719723,1.1542081024035036,6.0,4.5,8.0,3.0,4.0
0.0,68,17,630.1,34.8,13.4,48.0,3523.517181999105,21.48888660958573,9.115044247787612,4.807976366322009,7.594568380213385,3.4781753834054268,11.860068259385665,1,173.57881640828586,1.117908246985575,1.1144864892175446,1.1731094925025607,1.520138034030933,1.1171341784461222,4.0,4.0,8.0,3.0,4.0
0.0,56,14,594.9,31.8,9.4,47.0,2711.282665705408,18.82608674319765,15.221238938053098,5.406203840472674,8.947623666343356,4.2331891466771525,9.31740614334471,0,181.55791887448856,1.0847840942136096,1.0947446889240173,1.1472667514995738,1.5294023393092808,1.0886909016009774,3.0,4.0,7.0,3.0,3.0
0.0,144,11,549.8,141.8,11.2,48.0,4752.2255189559555,31.124525584906714,14.955752212389381,7.466765140324963,9.995150339476238,6.203303185214313,15.648464163822526,0,193.1943841098453,1.1050972984475704,1.0920836689161522,1.1415748575906302,1.4162623891482875,1.0949022376244126,3.0,4.0,6.5,3.0,4.0
0.0,336,10,521.5,136.7,14.1,36.0,7558.789811692029,45.71586318400712,9.070796460176991,11.831610044313145,12.032007759456837,8.230436492331892,14.854948805460753,0,201.5571426318072,1.2805924756383686,1.135702653432994,1.1697688275069733,1.388725771725964,1.1266989525661735,4.0,4.0,7.0,3.0,4.0
0.0,68,17,628.7,45.4,13.3,50.0,3534.6188541729875,22.440996451791595,9.29203539823009,5.369276218611521,6.6391852570320085,3.8379866299646084,11.083617747440274,0,174.57596868192783,1.1234176436808374,1.115355562907352,1.1410340364625193,1.5327596038362608,1.114973991357656,4.0,4.0,8.0,3.0,4.0
0.0,144,11,547.3,37.3,10.7,45.0,4693.213989925481,30.768995537042493,15.84070796460177,7.584933530280651,11.17846750727449,6.405819897758552,15.486348122866895,0,196.65251858280857,1.1014011466192197,1.0890609139429968,1.1359454814077883,1.4129913541170733,1.0919299940616523,3.0,4.0,6.0,3.0,3.5
0.0,132,12,546.2,142.1,13.1,50.0,4732.8222677337735,29.60723975647936,7.345132743362832,5.908419497784342,8.021338506304557,5.009830908375934,13.822525597269625,1,179.09532723421282,1.1921157650281522,1.1102258833918974,1.1656764820959524,1.4146022878401374,1.110601753721951,4.0,4.0,7.0,3.0,4.0
0.0,72,10,569.6,27.2,10.1,49.0,2780.635862401793,20.267712829834736,10.84070796460177,4.209748892171344,6.779825412221145,4.182068423122296,7.773037542662116,2,165.15796108539774,1.0804606436268718,1.1232185566431825,1.1850819109790796,1.6801155461414845,1.0964669971813885,3.0,4.0,6.0,3.0,3.0
