time_s,RTT_ms
0,22.566811036987463
1,22.56987732493257
2,22.573315536843825
3,22.57712317099051
4,22.58130106128287
5,22.585850041631133
6,22.59076844421483
7,22.59605626903396
8,22.60171351608852
9,22.607739351468275
10,22.61413460908346
11,22.620896787203367
12,22.628028387558704
13,22.635526908418758
14,22.64339234978353
15,22.651625545563256
16,22.660224827937466
17,22.669190196906154
18,22.678520818559086
19,22.68821669289626
20,22.698276152097197
21,22.708700030072137
22,22.719487492910847
23,22.73063854061332
24,22.742151505359082
25,22.754026387148137
26,22.766261518160007
27,22.778857732304928
28,22.79181419567266
29,22.80513007435297
30,22.818803700525383
31,22.83283590810013
32,22.84722586316698
33,22.861971063995213
34,22.877073178405308
35,22.892528870756315
36,22.907586787923798
37,22.912533543455588
38,22.917771333660436
39,22.923304328089536
40,22.92912668937122
41,22.93524508878739
42,22.94165869242781
43,22.94836583247201
44,22.955369844560934
45,22.962670728694583
46,22.970270986603673
47,22.978167282647252
48,22.98636295246627
49,22.994860497791443
50,23.00365574907158
51,23.012755377588586
52,23.022156881611746
53,23.03185942723082
54,23.04186801790724
55,23.052180151910292
56,23.06279749706045
57,23.073721721178188
58,23.08495199035327
59,23.09648913849594
60,23.108337335157376
61,23.12049157687616
62,23.132956867113716
63,23.14573320587004
64,23.158819759234905
65,23.172217361118538
66,23.185928513251657
67,23.199953215634263
68,23.214291468266357
69,23.228944105058172
70,23.243911959919952
71,23.25919586676193
72,23.27479665949435
73,23.290715172027443
74,23.306950570450976
75,23.32350452258542
76,23.340378696251257
77,23.35757058971777
78,23.37508437253615
79,23.39291837688592
80,23.411072602767078
81,23.42955038582058
82,23.448350058225948
83,23.467470786072944
84,23.486916738912758
85,23.506685415014676
86,23.526778482199177
87,23.54719760828673
88,23.567941125456866
89,23.58900986761982
90,23.610404668685828
91,23.63212719647537
92,23.65417411534749
93,23.676550428763623
94,23.699251967172568
95,23.722282900125528
96,23.745641559802014
97,23.76932627838156
98,23.79334039150511
99,23.817684733082913
100,23.842355967474006
101,23.867358264229583
102,23.89268912161893
103,23.91834770573181
104,23.944336518298936
105,23.97065555932031
106,23.997303160975452
107,24.02428182499508
108,24.051589883558712
109,24.079226502756118
110,24.10719335040777
111,24.135489592603427
112,24.164115229343093
113,24.193071094537007
114,24.222354686454455
115,24.251969340736384
116,24.281910887831607
117,24.31218266338108
118,24.342782999564317
119,24.37371106247109
120,24.404966852101396
121,24.43655120236547
122,24.445573277230345
123,24.4203499942617
124,24.395485292695387
125,24.370981674262133
126,24.34684164069264
127,24.323064358076678
128,24.299653995965436
129,24.276611388269146
130,24.253934867167338
131,24.231629436121437
132,24.20969259340073
133,24.188130176376884
134,24.166938015498708
135,24.146121948137868
136,24.12568030647389
137,24.10561559223748
138,24.085928639338885
139,24.066619447778102
140,24.047691353196083
141,24.029142687772353
142,24.010975953237622
143,23.993191149591894
144,23.975790778565884
145,23.958774840159588
146,23.942144168283246
147,23.925899596847096
148,23.910041959761376
149,23.894571257026087
150,23.879490824282176
151,23.86479982761941
152,23.850497433127554
153,23.836586142537314
154,23.823065955848694
155,23.809936873061698
156,23.797200561996792
157,23.784857856564223
158,23.77290792285375
159,23.761352428685846
160,23.750191374060517
161,23.73942392506752
162,23.72905341734781
163,23.71907734917067
164,23.709495720536104
165,23.7003127009953
166,23.691523287086827
167,23.683132482272118
168,23.675137784820457
169,23.667537526911367
170,23.660336712006277
171,23.653532838374474
172,23.647125072105716
173,23.641114247110245
174,23.6355011972983
175,23.6302842548494
176,23.62546258585331
177,23.621038692040745
178,23.617011739501464
179,23.613380894325232
180,23.610146156512048
181,23.607306692151674
182,23.60486333515435
183,23.602814417699594
184,23.60116077369765
185,23.599901569238277
186,23.599036804321475
187,23.588982348581965
188,23.566385048952768
189,23.54412798470067
190,23.522206986274483
191,23.500626223225403
192,23.479384027732944
193,23.458481233707353
194,23.437917007238386
195,23.41769134832605
196,23.39780592479081
197,23.378259902722437
198,23.35905244821069
199,23.340184395165807
