time_s,RTT_ms
0,88.33831366249174
1,88.3428427565376
2,88.34740236547415
3,88.35195557433366
4,88.35652354557021
5,88.36109697367269
6,88.3656856785354
7,88.37026743407449
8,88.37485801204545
9,88.3794637981453
10,88.38407839286823
11,88.38868524944371
12,88.39330810800767
13,88.39793971020819
14,88.40258653143322
15,88.40724212275788
16,88.41189324408556
17,88.41655450824736
18,88.4212328759281
19,88.425898404194
20,88.4233619346082
21,88.41942034880213
22,88.41549447622025
23,88.41156818755246
24,88.4076354267208
25,88.40370724758935
26,88.39977973720437
27,88.39584469431799
28,88.3919322295006
29,88.38799534718531
30,88.38407981687915
31,88.38015951301598
32,88.37624049248798
33,88.37231926113928
34,88.36841895982451
35,88.36449259329542
36,88.36058883283306
37,88.3566792615514
38,88.35276871936189
39,88.34885904554035
40,88.34494218821267
41,88.34105200978665
42,88.33713312298502
43,88.333234548273
44,88.32933446097014
45,88.32543249358548
46,88.32152614395763
47,88.31761746478558
48,88.31373328113618
49,88.30981975331173
50,88.30592415746854
51,88.30203492035027
52,88.29813645092474
53,88.29423511061056
54,88.29035690830557
55,88.28644938580389
56,88.2825652491443
57,88.27865442667071
58,88.27476675973757
59,88.2708715205602
60,88.26699681706232
61,88.26309878219094
62,88.25919666472352
63,88.25531758175151
64,88.25143141956521
65,88.24754451865577
66,88.24365179154124
67,88.23975881187506
68,88.235863011198
69,88.2319869413052
70,88.22808370053424
71,88.22419985523122
72,88.22031229966488
73,88.21642576414884
74,88.2125369165412
75,88.20863916158062
76,87.40590122284466
77,87.40773326209614
78,87.4095643807856
79,87.41139246103675
80,87.41321795236101
81,87.4150441023928
82,87.4168657211874
83,87.4186788547241
84,87.42049475762559
85,87.42230640255741
86,87.42411632397734
87,87.425927255023
88,87.42773093588117
89,87.42953324603744
90,87.43132796625186
91,87.43312570379089
92,87.43491628232329
93,87.4367080434178
94,87.43849448413665
95,87.44027824630827
96,87.44206001940965
97,87.44383353855301
98,87.44561210452879
99,87.44738301904194
100,87.4491497981708
101,87.4509186439158
102,87.45267903354255
103,87.45443746833418
104,87.45619028504046
105,87.45794109173151
106,87.45969108083078
107,87.46143522655821
108,87.46317899614844
109,87.46492022437533
110,87.46665442949649
111,87.46838635729137
112,87.47010744935965
113,87.47182995540767
114,87.47357383982641
115,87.47529149361637
116,87.47698529583033
117,87.4787009390131
118,87.48041403886975
119,87.48212005442984
120,87.48382803554654
121,87.48550982156117
122,87.48721294611855
123,87.48889221693864
124,87.49059355514274
125,87.49226796597812
126,87.49393840520436
127,87.49563184253206
128,87.49729882759333
129,87.4989665885459
130,87.50063130724813
131,87.5022875318429
132,87.50395045739464
133,87.50560322012326
134,87.50723712898292
135,87.5088909580974
136,87.51053914377749
137,87.51216513870413
138,87.51380985783851
139,87.51543238551652
140,87.51704782025
141,87.51868935892713
142,87.52030229643309
143,87.5219114751697
144,87.5235202304426
145,87.52512710888374
146,87.52673143096217
147,87.52833366023818
148,87.52991228947914
149,87.53150913709614
150,87.53310343065898
151,87.5346743616136
152,87.53626300518111
153,85.97701133011127
154,85.98202175320894
155,85.98705885342925
156,85.99212519112616
157,85.99722221935563
158,86.00234403561603
159,86.00749654457152
160,86.01268439199798
161,86.0178982397972
162,86.02313716917902
163,86.02841068595127
164,86.03370683354504
165,86.0390380457696
166,86.04439805655288
167,86.0497867734538
168,86.05520052103319
169,86.06064989252006
170,86.06612794486728
171,86.0716349415898
172,86.07717147568871
173,86.08273905184232
174,86.08833332867607
175,86.0939595797132
176,86.09961368805001
177,86.10530122511473
178,86.11101209069776
179,86.11675633214412
180,86.1225344425733
181,86.12833425559343
182,86.13417337400108
183,86.14003602662271
184,86.14593016720005
185,86.15185319844294
186,86.15780927284835
187,86.16379403983099
188,86.16981247202618
189,86.17585666845326
190,86.18193027630669
191,86.1880396575336
192,86.19417486066732
193,86.20034305817545
194,86.2065408129066
195,86.21276729120329
196,86.21902477179191
197,86.22531405554061
198,86.23163536712532
199,86.2379878265338
