time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,dead_flight_count,flight_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,28,120,525.0,23,25,50.0,2974.0703516647186,12.285619592034369,0.5090006207324643,0.8896515311510031,1.2015295854018515,0.765336808340016,6.0744147157190636,39,95.12199404845384,130,363.3665587914928,3.0002639779555396,1.1281193262849816,1.1151338273735911,1.3660772651478084,1.2079995837579713,27.0,9.0,25.0,3.0,14.0
0.0,28,120,525.0,38,25,50.0,3646.328985874913,13.763288017343836,1.2259466170080695,1.4968321013727561,1.43767610358245,0.5225040096230954,14.949832775919733,4,149.22882774005754,78,454.2428831633982,1.8528085997553418,1.0887321958635796,1.0888125872069738,1.277602787895333,1.1037572203742774,21.0,9.0,26.0,3.0,13.0
0.0,28,120,525.0,47,25,50.0,3255.143542408049,12.810913190936956,1.0986964618249535,1.3608764519535375,1.1411512142761304,0.471130713712911,14.23913043478261,1,145.89579385684135,42,492.60939655858283,1.5425253443080473,1.0893576475172078,1.0819312084797736,1.286217172058174,1.0950846146892843,17.0,9.0,25.0,3.0,12.0
0.0,28,120,525.0,14,25,50.0,2147.8830292996745,7.210366832510644,0.3041589075108628,0.5649419218585006,0.6822755937206494,0.4317862870890137,4.4941471571906355,59,60.06849760788254,187,284.4366027020177,3.194828434872572,1.1290598942632295,1.1167785194871935,1.3874407855867648,1.2805941520259028,22.0,9.0,24.0,3.0,14.5
0.0,28,120,525.0,71,25,50.0,2184.639417956732,10.14385503646134,0.6828057107386716,0.9081309398099261,0.7507044143298001,0.37615276663993585,10.861204013377925,0,128.28163147046126,2,525.4341178142668,1.077597565916194,1.1063103595248154,1.0957406424316416,1.3396596826442528,1.1163670247346005,15.0,9.0,24.0,4.0,11.0
0.0,28,120,525.0,50,25,50.0,3116.335219688291,12.664305148628516,0.9869646182495344,1.2552798310454065,1.033141017040118,0.4781475541299118,13.658026755852843,1,143.0546353226863,41,492.66869438195897,1.4555950379589557,1.0782896046260297,1.0775679248708963,1.3032838653298513,1.0863290256943245,17.0,9.0,25.0,3.0,12.0
0.0,28,120,525.0,8,25,50.0,1498.9348202411632,4.231559784880217,0.16759776536312848,0.46990496304118273,0.4125855360257614,0.24358460304731355,3.674749163879599,78,39.124806712866125,227,227.99068306328428,0.9552698412520563,1.1270721200202658,1.0920981250245319,1.272907280419893,1.1761102473248033,5.5,9.0,21.0,3.0,9.0
0.0,28,120,525.0,89,25,50.0,2012.0309865265335,9.539932581615423,0.6703910614525139,0.8104540654699048,0.6916677847846504,0.3613672814755413,10.071070234113712,0,123.78399229581004,0,513.6762817426243,1.051720585273043,1.166397950037678,1.1450236684615358,1.389896828310123,1.2295670276795958,14.0,8.0,24.0,4.0,11.0
0.0,28,120,525.0,86,25,50.0,1991.8225717484577,9.443771673026214,0.6828057107386716,0.8091341077085532,0.6574533744800751,0.3596130713712911,10.196488294314381,0,124.39744711458637,0,515.0733663712294,1.0362755369477392,1.148819826291318,1.1339506430823554,1.3442470909335063,1.2059887707301489,14.0,8.0,24.0,4.0,11.0
0.0,28,120,525.0,65,25,50.0,2379.7071118907647,10.430454923883948,0.7883302296710119,0.9714889123548046,0.8224875888903798,0.3769045709703288,11.325250836120402,0,131.81607669475767,4,529.2348796005183,1.1413508608067873,1.0967667139341288,1.0863642564603109,1.3245272942707649,1.1038783416287818,15.0,9.0,24.0,4.0,12.0
0.0,28,120,525.0,59,25,50.0,2604.955390543563,11.27177722225237,0.8783364369956548,1.053326293558606,0.9009794713538173,0.4152465918203689,12.153010033444817,0,136.13539743359084,16,520.8000840071223,1.2464736951282722,1.0902624559041918,1.080290008747015,1.311645423171734,1.0876337864906795,15.0,9.0,24.0,4.0,12.0
0.0,28,120,525.0,32,25,50.0,3671.6364882181606,13.949361925142103,1.3780260707635008,1.529831045406547,1.5383067221253186,0.5250100240577386,13.528428093645484,8,138.18355409791909,85,431.1963710498132,2.259381453717013,1.130094173115461,1.1134468978934466,1.3542750174476759,1.1559674089472252,25.0,9.0,26.0,3.0,13.5
0.0,28,120,525.0,29,25,50.0,3464.011992119228,17.77978477381389,0.9466170080695221,1.220960929250264,1.4557896149201663,1.1166800320769847,7.132107023411372,20,125.5667155518353,118,397.62848814607275,2.3785619148642576,1.1147766288747925,1.1033244386285053,1.3183020604087767,1.1521618236330537,25.0,9.0,26.0,3.0,14.0
0.0,28,120,525.0,5,25,50.0,1138.582155318883,2.661404330501892,0.07138423339540657,0.36034846884899685,0.2569435126794579,0.12429831595829992,3.879598662207358,82,32.6374881001185,232,213.53442447670054,0.962252861678145,1.1520445856237413,1.1099066352837739,1.282885998947893,1.1939433519418778,4.5,9.0,21.0,3.0,8.0
0.0,28,120,525.0,77,25,50.0,2094.814066184431,10.129307043776944,0.6983240223463687,0.8672122492080254,0.728565678250369,0.3794105854049719,10.380434782608695,0,125.98547646695313,0,523.3349056892805,1.0370767266341436,1.121694506106005,1.1080194439020945,1.3421874610774618,1.1487178956531963,15.0,8.5,23.5,4.0,11.0
0.0,28,120,525.0,74,25,50.0,2125.4716309572923,10.065349233196502,0.6579764121663563,0.8843717001055967,0.6923386555749362,0.3856756214915798,10.622909698996654,0,126.55925714921847,1,524.602067210046,1.0536281429610832,1.1169895434157113,1.1012633587101384,1.3342802215415754,1.1316770815245318,15.0,8.5,24.0,4.0,11.0
0.0,28,120,525.0,83,25,50.0,2040.5182357406945,9.755763678913034,0.6983240223463687,0.8632523759239704,0.6923386555749362,0.3666299117882919,10.28428093645485,0,125.62467772320977,0,517.278951482627,1.028415470292303,1.1383701171100074,1.1249206233879918,1.3462546080592366,1.1837549294611267,15.0,8.0,24.0,4.0,11.0
0.0,28,120,525.0,11,25,50.0,1857.0910835058987,4.176663163581139,0.29484792054624454,0.5147835269271384,0.5004696095532,0.1764234161988773,4.912207357859532,73,45.838583474443425,210,244.59839678270555,1.003653041882336,1.137867870290454,1.100811383153968,1.3619809249571873,1.199418041144755,6.0,9.0,22.0,3.0,11.0
0.0,28,120,525.0,17,25,50.0,2457.326693421048,9.131214494894097,0.4065797641216636,0.6810982048574445,0.8815242184355292,0.5473135525260625,5.44314381270903,52,75.54169333584407,179,304.92569396393213,2.9934996532911873,1.081589985429127,1.1088098651582392,1.3257624021758592,1.2321398784549162,21.0,9.0,24.0,3.0,14.0
0.0,28,120,525.0,35,25,50.0,3659.0751111239697,13.767330831878583,1.2849162011173185,1.4875923970432947,1.5014088286596001,0.5210004009623096,14.410535117056856,6,145.98451021134633,80,448.34055729689595,2.0159198905155504,1.107476748082359,1.1008748611253831,1.3047432858239592,1.126911036437732,23.0,9.0,26.0,3.0,13.0
0.0,28,120,525.0,44,25,50.0,3457.9681198692874,13.419911879016052,1.1607697082557418,1.4519535374868004,1.293438883671005,0.4891740176423416,14.456521739130434,2,148.40902296657643,48,483.57022697383604,1.6594468102719964,1.0968355787228559,1.0848619736995404,1.2871318896833575,1.1040417865266439,18.0,9.0,25.5,3.0,12.0
0.0,28,120,525.0,62,25,50.0,2514.2952200347354,10.468449986149633,0.7914338919925512,1.03220696937698,0.827854555212666,0.3706395348837209,12.044314381270903,0,134.5107442078286,9,522.5737763336499,1.1867483212783965,1.091986851712743,1.0817596287830007,1.3225113870064424,1.0961301204872123,15.0,9.0,24.0,4.0,12.0
0.0,28,120,525.0,68,25,50.0,2282.4245867489517,10.300347176393924,0.7262569832402235,0.9648891235480465,0.7741848919898028,0.378658781074579,10.990802675585284,0,129.9098949371868,4,527.599474445202,1.1047455165326967,1.0996405829483111,1.0898244537353166,1.3290453735963128,1.1071237643361171,15.0,9.0,24.0,4.0,11.0
0.0,28,120,525.0,53,25,50.0,2874.362816378508,11.933107091267605,0.8876474239602731,1.1708025343189017,0.9687374211726822,0.4380513231756215,13.323578595317725,0,140.93317005919582,19,511.6894099849116,1.388693015713184,1.1012478182855503,1.0824990566083648,1.310804794919619,1.106198483442516,16.0,9.0,25.0,3.5,12.0
0.0,28,120,525.0,20,25,50.0,2713.269449135636,10.33294708028257,0.48417132216014896,0.7853748680042238,1.0002683483161143,0.6219927826784283,5.731605351170568,49,81.49851637154389,171,316.235857568572,2.6064573053317885,1.0892473582218682,1.0976688307184839,1.2765870665510874,1.1944943692657457,21.0,9.0,24.0,3.0,14.0
0.0,28,120,525.0,26,25,50.0,3224.841745758474,16.346075893047743,0.7479826194909994,1.1219640971488913,1.4135247551321615,1.0031575781876503,6.9732441471571915,24,113.11493930450355,121,388.4143029681895,2.6871790784625964,1.1336599076195797,1.118089292560606,1.3171534129229463,1.1836642517905787,27.0,9.0,26.0,3.0,14.0
0.0,28,120,525.0,56,25,50.0,2710.463124742953,11.480543067506746,0.8441961514587213,1.0691657866948259,0.9325103984972494,0.42727546110665593,12.62123745819398,0,138.34134671511998,16,520.9763854795357,1.304685728488105,1.0986973909325866,1.081594170364474,1.3025477535436587,1.0955509317140262,15.75,9.0,25.0,3.5,12.0
0.0,28,120,525.0,41,25,50.0,3622.8248873472335,13.977451148337753,1.207324643078833,1.587909186906019,1.4229169461961626,0.5204991980753809,14.427257525083611,3,149.67934224483733,58,460.34605543004653,1.759056698882588,1.0985251575428,1.0878919452544946,1.290874358948518,1.1118992900211004,20.0,9.0,25.0,3.0,13.0
0.0,28,120,525.0,80,25,50.0,2067.9941163988706,9.91418461699233,0.7510862818125388,0.854012671594509,0.7185026163960821,0.3716419406575782,10.480769230769232,0,126.1876663474987,0,520.6118185508603,1.0282895409215247,1.132089705907962,1.1153724553287014,1.3432460091196707,1.1642854953066848,15.0,8.0,23.5,4.0,11.0
