time_s,RTT_ms
0,27.70082195811737
1,27.72821852700945
2,27.756355589628477
3,27.78522048666289
4,27.814813533021535
5,27.8451236657432
6,27.876146218670307
7,27.907874620407863
8,27.940300475128346
9,27.973418434072478
10,28.007222794268984
11,28.041707610957896
12,28.076863692043347
13,28.11268475838505
14,28.149165525273837
15,24.219521914132486
16,22.47594029051378
17,22.47098101790654
18,22.466411699925583
19,22.46222767619943
20,22.458427421889926
21,22.455009209200337
22,22.451974914636697
23,22.449317063863678
24,22.447042331727577
25,22.44514179613142
26,22.443619328022134
27,21.73051509518593
28,21.729037749122934
29,21.727905186515247
30,21.727117169240113
31,21.726669634644942
32,21.72656533047295
33,21.72680004977757
34,21.727374383541488
35,21.728286935365507
36,21.729537931373272
37,21.731124402073135
38,21.73304994675776
39,21.735311133263224
40,21.737906014713044
41,21.740836899161707
42,21.744103448028444
43,21.747704694825448
44,21.751638817343945
45,21.75590863625904
46,21.76051397417404
47,21.765450440724
48,21.770725206139982
49,21.776331039114332
50,21.781090121526432
51,21.782910701257084
52,21.7851033761665
53,21.787666460770666
54,21.790601112948924
55,21.79390354977911
56,21.797575644793763
57,21.80161525791716
58,21.806025130419137
59,21.810799612381885
60,21.815941756828202
61,21.82145158961492
62,21.827326596022296
63,21.83356784381684
64,21.840175248510157
65,21.847147535987776
66,21.85448644533663
67,21.862191726936068
68,21.870260153598327
69,21.878697272573312
70,21.887498427479063
71,21.89666622034745
72,21.90620240574386
73,21.9161026686088
74,21.92637304911277
75,21.937009142155915
76,21.948014912597507
77,21.95938821978535
78,21.971130809658742
79,21.98324512064059
80,21.9957294226364
81,22.008583712239034
82,22.021811677469387
83,22.035410752418816
84,22.04938523374311
85,22.06373340477436
86,22.07845521870831
87,22.09355702127101
88,22.10903396040338
89,22.12488834511255
90,22.141124076837592
91,22.15774027549099
92,22.506054435723456
93,22.518960272336177
94,22.5323120200809
95,22.546113771608656
96,22.560360321428675
97,22.57505840489942
98,22.590205568642894
99,22.605801775656182
100,22.62184522019567
101,22.638341767677574
102,22.655289469522195
103,22.672687729228855
104,22.690538404891893
105,22.7088412675574
106,22.72759836900668
107,22.74680779574738
108,22.766471920582656
109,22.786590467029516
110,22.807163422308474
111,22.82819447633183
112,23.13190713654839
113,23.152358330710488
114,23.173368391144425
115,23.194933798439028
116,23.21705629962961
117,23.239735761342953
118,23.262972493990205
119,23.286761056730438
120,23.311104112473934
121,23.33599948987696
122,23.36144735554517
123,23.387447424080584
124,23.41399767016359
125,23.441097217604568
126,23.468749614220734
127,23.49694788641872
128,23.52569045469015
129,23.554984635136893
130,23.58482248325782
131,23.615205570413607
132,23.646128090609082
133,23.677598350396142
134,23.70866448150718
135,23.739430277365987
136,23.770671551961623
137,23.802388326882173
138,23.83457997256721
139,24.89950179461
140,24.932645697482446
141,24.966292925497847
142,25.000449493996207
143,25.03510657047924
144,25.07026220785035
145,25.10591832444176
146,25.142069193419086
147,25.178714715400726
148,25.21585433484876
149,25.25347910765056
150,25.291594792703894
151,25.330195165042095
152,25.369282019755158
153,25.408846264050037
154,25.448889092428196
155,25.489411857629825
156,25.530406754603657
157,25.57187567007716
158,25.61381387016517
159,25.656220425275514
160,25.699094740057905
161,25.742428667905674
162,25.786226052529827
163,25.830483286230237
164,25.875196018927827
165,25.920360279286804
166,25.965979369102563
167,26.012047292039966
168,26.058561621203694
169,26.1055214778944
170,26.15292163497532
171,26.20076193775059
172,27.527185019505705
173,27.562402309074436
174,27.59831195836684
175,27.634907271883094
176,27.672178836254048
177,27.710121556159848
178,27.746100814875586
179,27.772631708253854
180,27.799904163216585
181,27.827909927757993
182,27.856641762527502
183,27.886096737303507
184,27.91626649964808
185,27.947147176354274
186,27.97872777543867
187,28.01100426708059
188,28.043971390917697
189,28.077622087171722
190,28.1119478043939
191,28.146943808810466
192,24.117127999565113
193,24.108045555024617
194,22.432326409836595
195,22.42712784827696
196,22.42231718632045
197,22.417898018117064
198,22.413864598328658
199,22.41021723669237
