time_s,RTT_ms
0,93.47144789143046
1,93.46577515584367
2,93.46053201864397
3,93.45573784080892
4,93.45137353505453
5,93.44744802067768
6,93.44396738168955
7,93.44092664232183
8,93.43833317585101
9,93.43617960887359
10,93.43446685156755
11,93.4332120100749
12,93.43239860744639
13,93.43204468675894
14,93.43213650448595
15,93.43267333504257
16,93.43367716776213
17,93.43513309958847
18,93.4370447255091
19,93.43942190981141
20,93.44226219028319
21,93.44557656868368
22,93.44935152058287
23,93.45359127645858
24,93.65998830679686
25,93.66334040929378
26,93.6672112521321
27,93.67158391850552
28,93.67648430180355
29,93.68190115821598
30,93.68783825369479
31,93.69431035819831
32,93.70129302630386
33,93.70879880475854
34,93.7168486998808
35,93.72543145036697
36,93.73454472606
37,93.74418367290606
38,93.75439271858022
39,93.76511499000989
40,93.77639026882039
41,93.78822261453347
42,93.80059754888116
43,93.81353777865654
44,93.82702315550866
45,93.84107601577136
46,93.85569670333098
47,99.05972353141259
48,99.02441884830574
49,98.98996984010563
50,98.95638722636342
51,98.92368394805091
52,98.8918472379689
53,98.86089857907626
54,98.83083080249604
55,98.80167432680956
56,98.77341304287476
57,98.74608827246564
58,98.71966087352001
59,98.69418549883646
60,98.66963731353053
61,98.64601538726764
62,98.62337321035682
63,98.60165968690482
64,98.58092820603721
65,98.5611559947397
66,98.54234542983806
67,98.52454195308893
68,98.50769966023145
69,98.49186252373624
70,98.47701712335781
71,98.46316491938212
72,98.45032242627776
73,98.43849456086976
74,98.42766633345552
75,98.41787329159699
76,98.40910094094464
77,98.40134461000325
78,98.39460711496912
79,98.38892083374118
80,98.38424385847952
81,98.38062779698902
82,98.3780367339448
83,98.37647949611313
84,98.37596572076204
85,98.3764983056612
86,98.37807026354992
87,98.38068874994549
88,98.38434038549049
89,98.38904337587034
90,98.39479446531922
91,98.40157662445836
92,98.40939415535831
93,98.41825741520455
94,98.4281639984349
95,98.43910203878619
96,98.45107871526031
97,98.4640728203215
98,98.47810979266706
99,98.49317809960574
100,98.50925610505884
101,98.52634252221982
102,98.5444530576316
103,98.56358130938739
104,98.58370621304788
105,98.60484167799531
106,98.62696201157219
107,98.65007858772137
108,98.67417765337535
109,98.69925856409277
110,98.72530544377993
111,98.75232790877159
112,98.78032123976504
113,98.80925542168373
114,98.83913106487232
115,98.86995458347002
116,98.90171916714233
117,98.93440073662623
118,98.96799669553107
119,99.00251126889407
120,99.03793171836396
121,99.07423791736778
122,99.11144365411337
123,99.14951952424876
124,99.18846161006546
125,99.22826267362275
126,99.26893279265934
127,99.31044111689671
128,99.35279348290848
129,99.39139006446847
130,99.41910747295819
131,99.44763303267518
132,99.47696187281306
133,99.50708626543492
134,99.53799227254747
135,99.56967900161426
136,99.60215704851926
137,99.63538866486131
138,99.6693889620584
139,99.70412096258848
140,99.73959945486816
141,99.7758172495808
142,99.81276564539208
143,99.85042901643402
144,99.88880694033635
145,99.92787046133157
146,99.96764921060124
147,93.77717127351707
148,93.75899483702868
149,93.74127883384297
150,93.72401098994513
151,93.70719965408192
152,93.69081932759963
153,93.67489719004412
154,93.65941016336878
155,93.64438348285344
156,93.62978866570464
157,93.61564416055401
158,93.60192729063019
159,93.58864800256994
160,93.57581877900785
161,93.56342089785996
162,93.55146949345573
163,93.5399643143841
164,93.52887274222901
165,93.51822472894257
166,93.5080263010991
167,93.49825750135712
168,93.48893019313006
169,93.48003468477887
170,93.47156542310488
171,93.46354159435411
172,93.45594783757451
173,93.44879984379334
174,93.44208105722805
175,93.43579327410055
176,93.42994707682988
177,93.42455269036873
178,93.41957199056438
179,93.4150553413326
180,93.41095706767139
181,93.4073071309276
182,93.40410756500398
183,93.40134202659087
184,93.39901149392757
185,93.39713655210076
186,93.39569531850485
187,93.39471489616095
188,93.39417163393162
189,93.39407287398848
190,93.3944361483393
191,93.39523956648989
192,93.39648901136223
193,93.39820528204157
194,93.40038582870103
195,93.40301871541764
196,93.4061020756696
197,93.40964294851543
198,93.41365154275098
199,93.41814075140405
