time_s,RTT_ms
0,110.56674717707102
1,110.54695386252344
2,110.52798100107628
3,110.50982868470874
4,110.49251924382266
5,110.47601845288189
6,110.46035105047864
7,110.4455177430937
8,110.43150898755415
9,110.41833884050735
10,110.40599860956472
11,110.39448505619279
12,110.38379363717634
13,110.37393167023042
14,110.36490658122449
15,110.35671176212144
16,110.34933024712993
17,110.34278003126526
18,110.33704195801896
19,110.3321356661855
20,110.32804545118937
21,110.32477418604346
22,110.32231058867654
23,110.3206505946781
24,110.31981122696001
25,110.31977279508762
26,110.32053198684964
27,110.32208700451865
28,110.32444016192997
29,110.32759020694105
30,110.33151799294767
31,110.3362258506138
32,110.3417214540902
33,110.34798338664962
34,110.35500088660301
35,110.3627970264929
36,110.37135180846094
37,110.38065778556202
38,110.39070895553195
39,110.4015000284531
40,110.41302852794254
41,110.42529484113233
42,110.43828472736968
43,110.45199678805577
44,110.46640368242248
45,110.48153991599897
46,110.49736499049054
47,110.51389082185109
48,110.53110163378221
49,110.54900782396794
50,110.56758037301462
51,110.58681927267189
52,110.60672355329052
53,110.62728791157528
54,110.6484967686475
55,110.67035539890674
56,110.6928430202024
57,110.71597356308398
58,110.73971272507318
59,110.76407333124322
60,110.78904865389336
61,110.81461673756668
62,110.84079375990345
63,110.86755159613975
64,110.89488989822898
65,107.05764664301503
66,107.02963272291166
67,107.00195353961163
68,106.97460449457557
69,106.94758008381434
70,106.9209045676523
71,106.89455093500804
72,106.86853259760937
73,106.84284265479441
74,106.8174868378948
75,106.79246624485118
76,106.76776330836572
77,106.74339201156012
78,106.71935265976407
79,106.69563891492845
80,106.67225564803412
81,106.64920174884156
82,106.62646530110251
83,106.60405694460938
84,106.58196663130823
85,106.5602154619346
86,106.53878980499094
87,106.51767919730004
88,106.49690490443481
89,106.4764521977137
90,106.45632268617338
91,106.4365273859181
92,106.41706065595673
93,106.39791075096863
94,106.37908541494585
95,106.3606034019761
96,113.73633955177561
97,113.69427685451599
98,113.65258275720174
99,113.61127870766724
100,113.57036017966968
101,113.52984607967014
102,113.48971558709951
103,113.44999563054648
104,113.41069216227717
105,113.37178618611638
106,113.33331061427361
107,113.29527240041409
108,113.25765187253637
109,113.220468199508
110,113.1837226624188
111,113.14743433730715
112,113.11159482356827
113,113.07621476039779
114,113.04130040625326
115,113.00685404746915
116,112.97288365222231
117,112.93939906376058
118,112.90640139993701
119,112.87389627392184
120,112.84189590229425
121,112.81039706848534
122,112.77940572009766
123,112.74894452063519
124,112.71899699000471
125,112.68958086204805
126,112.66070061946914
127,112.63236652785938
128,112.60143175062511
129,112.55941323650009
130,112.50431182304845
131,112.44977573362317
132,112.39582489961036
133,112.34244272199975
134,112.2896492585409
135,112.23744948937124
136,112.18585188488171
137,112.13485568705116
138,112.08447496739721
139,112.03471080079348
140,111.98557490108634
141,111.93707696045661
142,111.88920349202512
143,111.84197807295698
144,111.79539932951054
145,111.74947758209645
146,111.70423110033197
147,111.659638134121
148,111.61572597954105
149,111.57249030206354
150,111.52993809294486
151,111.48808111023438
152,95.17834163389753
153,95.17316106449239
154,95.1685880601711
155,95.16462105959722
156,95.16126319971156
157,95.15851702695312
158,95.15638817678759
159,95.15487545359711
160,95.15398773202564
161,95.15370916453429
162,95.15405316244289
163,95.15502846191458
164,95.15662334202484
165,95.15884850932571
166,95.16169914192602
167,95.16518339825286
168,95.16928751324335
169,95.17402756863855
170,95.17940268128032
171,95.18540735025547
172,95.19204197640074
173,95.19931974732334
174,95.20722534695602
175,95.21576927776016
176,95.22494403060556
177,95.23476466504351
178,95.24521458950866
179,95.25629537223867
180,95.26801588248405
181,95.28037721863797
182,95.29336524358399
183,95.30699394627406
184,95.32125687541011
185,95.33615122488487
186,95.35168158118555
187,95.3678455817886
188,95.38463702101274
189,95.40206222853966
190,95.42011710702795
191,95.43879615521467
192,95.45810825343487
193,95.4780496932795
194,95.49861218346695
195,95.51979404483092
196,95.541589836863
197,95.56401768511488
198,95.58706914380164
199,95.61073142762125
