time_delta,S0_o,S0_n,S0_h_km,S0_i,S0_e,S0_p,throughput_Gbps,total_accommodated_flow,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,dead_GS_count,GS_coverage_metric,NS_sth,EW_sth,HG_sth,LG_sth,NESW_sth,NS_cnt,EW_cnt,HG_cnt,LG_cnt,NESW_cnt
0.0,28,28,590.0,33,35,5.0,1206.3923990513322,7.317107943178268,0.22123893805309736,0.9084194977843426,0.5674102812803103,0.47974832874557605,2.4402730375426622,15,58.91455387027187,3.442207608068678,1.270541664483395,1.2175587882372167,1.904747695851938,1.5544800691629066,10.0,6.5,14.0,5.5,8.0
0.0,28,28,590.0,33,35,25.0,1231.2763156557855,6.883062821111964,0.22123893805309736,0.8419497784342688,0.5092143549951503,0.46401887534408176,2.4829351535836177,15,58.42825022379981,3.5259416795052045,1.261298193516169,1.216610739493933,1.8423031729082786,1.5162240093256074,11.0,7.0,14.0,5.5,8.0
0.0,28,28,590.0,33,35,20.0,1231.6700459375015,6.97067295242568,0.4424778761061947,0.8493353028064994,0.48981571290009696,0.462052693668895,2.5170648464163823,15,58.503790019392504,3.5024621286182978,1.2678320314891423,1.2153875486514116,1.8647559756867698,1.5225750199832542,11.0,7.0,14.0,6.0,8.0
0.0,28,28,590.0,33,35,30.0,1241.9416181270915,6.876711005750343,0.22123893805309736,0.8567208271787298,0.5480116391852571,0.45418796696814784,2.525597269624573,15,59.16046306527736,3.498345004190641,1.2531638297662142,1.210139202714108,1.8169927182834673,1.5000298325830423,10.0,7.0,14.0,5.5,8.0
0.0,28,28,590.0,33,35,0.0,1205.986876155013,7.258982603415036,0.22123893805309736,0.930576070901034,0.5237633365664404,0.4974439638222572,2.4061433447098977,15,58.9831259708915,3.440510669345448,1.2739411087226995,1.2178840798881794,1.9281416261554194,1.561494070626078,10.0,6.5,14.0,6.0,8.0
0.0,28,28,590.0,33,35,10.0,1208.690204336439,7.279154550474419,0.30973451327433627,0.7607090103397341,0.47041707080504364,0.5348014156508062,2.551194539249147,14,59.3929209603217,3.437032824134219,1.278413659049042,1.2176170941266302,1.897340480924243,1.5261023934832776,10.0,7.0,14.0,5.5,8.0
0.0,28,28,590.0,33,35,45.0,1195.7251750760695,6.314950361630946,0.39823008849557523,0.7902511078286558,0.4558680892337536,0.40306724341329137,2.7901023890784984,16,59.2315590514645,3.472538543206442,1.240546729183928,1.1995181168055553,1.7743240077476963,1.4745366031599718,10.5,7.0,13.5,5.0,8.0
0.0,28,28,590.0,33,35,35.0,1210.0852033542603,6.643209326800267,0.30973451327433627,0.775480059084195,0.504364694471387,0.44828942194258753,2.525597269624573,15,59.02878418279547,3.495143446060889,1.2520902936646416,1.2066899749442055,1.793597238493219,1.478328843216779,11.0,7.0,13.5,5.0,8.0
0.0,28,28,590.0,33,35,40.0,1183.7403428592813,6.543146142405604,0.30973451327433627,0.7533234859675036,0.4364694471387003,0.4148643334644121,2.8412969283276452,15,58.7419231433257,3.51293169976237,1.2474449490857324,1.20326783634401,1.7891390917499286,1.4796855818834094,11.0,7.0,14.0,5.0,8.0
0.0,28,28,590.0,33,35,50.0,1201.4306774200697,6.421721516666229,0.22123893805309736,0.8197932053175776,0.49466537342386036,0.4227290601651593,2.627986348122867,16,59.942483315215405,3.427532431924628,1.2448217490434137,1.1991906962575583,1.7796048097628259,1.450363560882556,10.5,7.0,13.0,5.0,8.0
0.0,28,28,590.0,33,35,15.0,1220.3440493172102,6.933050932491406,0.2654867256637168,0.930576070901034,0.49466537342386036,0.47188360204482893,2.354948805460751,15,59.11645915614846,3.405531602041306,1.2758949389839482,1.2122188880010594,1.8715642206518068,1.5269045005946777,10.0,7.0,14.0,6.0,8.0
