o,n,h,i,e,p,gbps,time_s,total_sat
72,10,572.2,31.8,11.4,50.0,2808.65114704021,6448.349263434997,720
144,11,555.0,38.3,12.3,50.0,4745.469919655734,12155.937761428999,1584
324,12,555.0,45.1,16.1,50.0,8042.0673853094495,41315.50953429495,3888
68,17,625.0,38.4,13.8,50.0,3563.6690869284894,9419.100388422026,1156
323,10,634.3,43.5,16.6,50.0,7350.293195207602,27664.30070518807,3230
336,10,528.8,43.4,14.3,50.0,7532.176742925458,39051.47133492096,3360
